total_credit_utilized,installment,grade,state,issue_date,application_time,accounts,y
135761,484.14,A,TX,19-Mar-18,15:50:11.2,"{""current_delinq"":0,""current_installment"":4,""opened_24m"":7,""satisfactory"":22,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":12,""total_cc"":31,""open_cc"":18,""mort"":2}",0
34302,106.26,B,NJ,11-Feb-18,15:54:08.2,"{""current_delinq"":0,""current_installment"":4,""opened_24m"":6,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":20,""open_cc"":6,""mort"":0}",0
154689,490.38,B,CA,07-Mar-18,16:57:22.1,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":6,""satisfactory"":15,""120d_past_due"":null,""30d_past_due"":0,""active_debit"":6,""total_cc"":14,""open_cc"":10,""mort"":6}",0
4973,282.25,B,DC,01-Mar-18,15:13:21.5,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":6,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":18,""open_cc"":7,""mort"":0}",0
62310,789.57,C,AL,05-Jan-18,16:30:27.5,"{""current_delinq"":0,""current_installment"":5,""opened_24m"":3,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":0,""total_cc"":4,""open_cc"":2,""mort"":1}",0
21203,390.47,B,OH,09-Mar-18,14:24:08.2,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":4,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":8,""open_cc"":7,""mort"":2}",0
48684,301.15,A,OH,21-Feb-18,16:33:13.3,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":3,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":10,""open_cc"":5,""mort"":0}",0
33917,132.82,B,CA,21-Feb-18,15:39:43.3,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":10,""satisfactory"":12,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":26,""open_cc"":12,""mort"":0}",0
41727,778.72,D,NJ,10-Feb-18,16:58:01.9,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":7,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":16,""open_cc"":6,""mort"":6}",0
129421,258.86,A,MO,15-Feb-18,15:57:22.1,"{""current_delinq"":0,""current_installment"":19,""opened_24m"":6,""satisfactory"":29,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":38,""open_cc"":9,""mort"":4}",0
66075,135.92,C,TX,17-Feb-18,14:31:58.2,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":6,""satisfactory"":16,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":6,""total_cc"":18,""open_cc"":11,""mort"":3}",0
17238,268.06,C,WA,18-Apr-18,15:01:58.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":3,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":13,""open_cc"":9,""mort"":0}",0
104473,1197.41,C,CA,19-Mar-18,11:36:38.2,"{""current_delinq"":0,""current_installment"":4,""opened_24m"":5,""satisfactory"":12,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":7,""total_cc"":10,""open_cc"":8,""mort"":0}",0
39549,1172.9,C,ID,20-Feb-18,16:14:08.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":9,""satisfactory"":18,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":26,""open_cc"":16,""mort"":3}",0
16749,382.3,D,CA,17-Jan-18,10:14:08.2,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":5,""satisfactory"":13,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":27,""open_cc"":11,""mort"":1}",0
41806,665.89,E,CA,22-Feb-18,16:52:42.6,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":4,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":10,""open_cc"":9,""mort"":2}",0
43584,384.06,B,GA,08-Feb-18,13:39:43.3,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":6,""satisfactory"":13,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":7,""total_cc"":14,""open_cc"":11,""mort"":3}",0
66125,304.59,A,MD,25-Jan-18,16:31:58.2,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":7,""satisfactory"":19,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":6,""total_cc"":24,""open_cc"":14,""mort"":6}",0
22187,240.12,D,KS,22-Apr-18,16:49:43.3,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":3,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":4,""open_cc"":3,""mort"":0}",0
7326,399.25,A,CA,29-Mar-18,14:38:01.9,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":1,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":7,""total_cc"":8,""open_cc"":8,""mort"":0}",0
13275,287.38,C,NE,12-Apr-18,10:15:52.8,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":4,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":8,""total_cc"":12,""open_cc"":10,""mort"":1}",0
8766,667.19,B,TX,20-Feb-18,14:06:38.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":3,""satisfactory"":12,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":24,""open_cc"":10,""mort"":2}",0
1935,112.77,A,NC,18-Feb-18,10:15:52.8,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":2,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":9,""open_cc"":6,""mort"":1}",0
11032,265.64,B,NJ,07-Mar-18,15:36:38.2,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":1,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":11,""open_cc"":7,""mort"":2}",0
19489,602.55,D,OK,31-Mar-18,10:53:13.3,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":2,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":16,""open_cc"":6,""mort"":0}",0
36718,573.86,E,MA,04-Apr-18,10:24:08.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":5,""satisfactory"":17,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":32,""open_cc"":15,""mort"":1}",0
27381,931.13,A,CA,11-Mar-18,14:18:01.9,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":5,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":26,""open_cc"":8,""mort"":0}",0
50946,703.34,C,CA,31-Jan-18,14:41:58.2,"{""current_delinq"":0,""current_installment"":5,""opened_24m"":1,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":10,""open_cc"":6,""mort"":0}",0
24868,163.46,B,FL,01-Mar-18,14:51:58.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":9,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":21,""open_cc"":9,""mort"":0}",0
61290,563.85,C,FL,10-Apr-18,14:23:13.3,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":4,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":15,""open_cc"":5,""mort"":2}",0
154276,359.28,C,VA,06-Feb-18,16:49:43.3,"{""current_delinq"":0,""current_installment"":6,""opened_24m"":1,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":3,""open_cc"":2,""mort"":0}",0
3618,193.38,B,MI,21-Mar-18,15:50:11.2,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":3,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":8,""open_cc"":6,""mort"":0}",0
16375,555.04,C,RI,11-Jan-18,16:10:27.5,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":3,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":8,""open_cc"":6,""mort"":1}",0
99141,256.01,B,WA,06-Apr-18,14:48:01.9,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":10,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":13,""open_cc"":7,""mort"":4}",0
4663,304.54,A,UT,09-Mar-18,14:35:55.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":2,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":17,""open_cc"":7,""mort"":0}",0
80834,365.5,A,CA,27-Feb-18,16:48:01.9,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":2,""satisfactory"":12,""120d_past_due"":null,""30d_past_due"":0,""active_debit"":4,""total_cc"":9,""open_cc"":9,""mort"":0}",0
40417,761.46,A,SC,21-Jan-18,11:20:27.5,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":3,""satisfactory"":13,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":6,""total_cc"":12,""open_cc"":10,""mort"":2}",0
34794,1307.66,B,CA,14-Apr-18,16:24:08.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":6,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":11,""open_cc"":5,""mort"":9}",0
36228,530.18,C,IN,25-Mar-18,15:43:08.5,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":1,""satisfactory"":6,""120d_past_due"":null,""30d_past_due"":0,""active_debit"":4,""total_cc"":6,""open_cc"":5,""mort"":0}",0
57296,897.37,D,WA,16-Apr-18,11:06:38.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":2,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":9,""open_cc"":6,""mort"":0}",0
12111,155.19,A,CT,23-Feb-18,14:38:01.9,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":1,""satisfactory"":2,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":2,""open_cc"":1,""mort"":0}",0
17792,1229.97,A,DE,04-Feb-18,16:13:21.5,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":3,""satisfactory"":3,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":3,""open_cc"":1,""mort"":0}",0
27,281.34,C,FL,11-Jan-18,16:04:08.2,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":1,""satisfactory"":2,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":2,""open_cc"":2,""mort"":0}",1
37706,162.33,B,AL,01-Jan-18,10:37:22.1,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":2,""satisfactory"":5,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":6,""open_cc"":3,""mort"":3}",0
1564,629.37,C,KY,06-Feb-18,14:21:58.2,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":2,""satisfactory"":3,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":4,""open_cc"":2,""mort"":1}",0
46806,917.3,C,GA,21-Mar-18,11:26:38.2,"{""current_delinq"":0,""current_installment"":5,""opened_24m"":1,""satisfactory"":12,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":12,""open_cc"":6,""mort"":3}",0
71544,469.84,A,TX,23-Jan-18,15:20:27.5,"{""current_delinq"":0,""current_installment"":7,""opened_24m"":3,""satisfactory"":14,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":16,""open_cc"":6,""mort"":5}",0
24561,219.07,B,VA,21-Jan-18,16:04:08.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":1,""satisfactory"":4,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":2,""open_cc"":2,""mort"":0}",0
96138,384.06,B,NV,02-Feb-18,16:29:43.3,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":3,""satisfactory"":15,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":11,""total_cc"":20,""open_cc"":12,""mort"":1}",0
69968,476.45,C,CT,29-Mar-18,16:20:27.5,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":10,""satisfactory"":18,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":9,""total_cc"":21,""open_cc"":14,""mort"":2}",0
71836,486.98,B,TN,25-Mar-18,14:33:13.3,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":3,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":0,""total_cc"":10,""open_cc"":5,""mort"":1}",0
54099,502.12,D,MA,19-Feb-18,16:44:08.2,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":7,""satisfactory"":14,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":18,""open_cc"":9,""mort"":1}",0
35949,434.2,D,AR,29-Jan-18,16:31:58.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":3,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":11,""open_cc"":6,""mort"":0}",0
73454,1278.57,B,AK,27-Jan-18,17:46:38.2,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":1,""satisfactory"":14,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":12,""open_cc"":10,""mort"":3}",0
6204,144.45,B,TX,29-Mar-18,11:11:58.2,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":1,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":10,""open_cc"":8,""mort"":0}",0
16252,381.54,C,NY,05-Mar-18,10:47:22.1,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":0,""satisfactory"":2,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":3,""open_cc"":2,""mort"":0}",0
147821,186.23,A,MN,02-Feb-18,15:16:38.2,"{""current_delinq"":0,""current_installment"":7,""opened_24m"":9,""satisfactory"":17,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":14,""open_cc"":9,""mort"":0}",0
10060,320.05,B,MD,07-Mar-18,14:42:42.6,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":2,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":12,""open_cc"":7,""mort"":0}",0
37203,636.24,B,PA,19-Mar-18,16:42:42.6,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":4,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":6,""total_cc"":10,""open_cc"":7,""mort"":3}",0
31247,332.05,B,MI,29-Mar-18,11:46:38.2,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":12,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":11,""open_cc"":8,""mort"":0}",0
44344,616.83,B,AZ,03-Jan-18,15:31:58.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":4,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":12,""open_cc"":7,""mort"":2}",0
13649,403.49,A,GA,12-Feb-18,16:38:01.9,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":6,""satisfactory"":14,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":15,""open_cc"":13,""mort"":0}",0
1884,128.02,B,CT,07-Mar-18,11:59:43.3,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":2,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":10,""open_cc"":7,""mort"":0}",0
12513,288.01,B,CA,15-Mar-18,11:01:58.2,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":6,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":17,""open_cc"":10,""mort"":0}",0
83527,1085.48,D,NC,01-Feb-18,16:04:08.2,"{""current_delinq"":0,""current_installment"":7,""opened_24m"":11,""satisfactory"":30,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":12,""total_cc"":29,""open_cc"":23,""mort"":2}",0
64070,762.26,D,NY,21-Mar-18,17:26:38.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":3,""satisfactory"":13,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":7,""total_cc"":11,""open_cc"":9,""mort"":1}",0
14125,212.13,B,AL,13-Mar-18,15:43:08.5,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":2,""satisfactory"":5,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":12,""open_cc"":3,""mort"":4}",0
78994,560.94,D,OK,27-Feb-18,11:42:42.6,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":6,""satisfactory"":20,""120d_past_due"":null,""30d_past_due"":0,""active_debit"":8,""total_cc"":17,""open_cc"":16,""mort"":1}",0
6293,217.23,A,CA,07-Mar-18,16:41:58.2,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":2,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":7,""open_cc"":6,""mort"":0}",0
28178,260.18,C,AR,05-Mar-18,15:55:47.4,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":4,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":5,""open_cc"":5,""mort"":0}",0
67856,442.53,B,MO,17-Mar-18,16:20:27.5,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":4,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":13,""open_cc"":7,""mort"":4}",0
8180,37.37,D,PA,19-Mar-18,15:06:38.2,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":1,""satisfactory"":3,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":3,""open_cc"":3,""mort"":1}",0
26745,595.21,E,CA,09-Jan-18,10:19:43.3,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":2,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":6,""open_cc"":6,""mort"":0}",0
7699,651.79,A,AZ,15-Jan-18,10:23:13.3,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":4,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":20,""open_cc"":8,""mort"":0}",0
27565,704.11,B,WI,23-Jan-18,10:24:08.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":2,""satisfactory"":13,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":20,""open_cc"":9,""mort"":3}",0
4527,358.88,D,AZ,12-Apr-18,15:16:38.2,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":3,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":6,""open_cc"":5,""mort"":5}",0
41624,409.52,B,NV,05-Feb-18,15:19:43.3,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":5,""satisfactory"":12,""120d_past_due"":null,""30d_past_due"":0,""active_debit"":7,""total_cc"":11,""open_cc"":11,""mort"":0}",0
15439,64.01,B,IN,19-Feb-18,14:07:22.1,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":1,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":4,""open_cc"":4,""mort"":4}",0
3249,768.62,A,GA,13-Feb-18,10:22:42.6,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":7,""satisfactory"":15,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":17,""open_cc"":13,""mort"":5}",0
34218,485.59,C,NV,04-Apr-18,14:02:42.6,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":3,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":10,""open_cc"":7,""mort"":0}",0
31726,1136.11,B,AL,09-Mar-18,14:58:01.9,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":2,""satisfactory"":13,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":37,""open_cc"":12,""mort"":1}",0
13299,441.73,C,TX,01-Feb-18,16:13:21.5,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":2,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":8,""open_cc"":5,""mort"":1}",0
34688,444.79,B,MO,19-Mar-18,17:34:08.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":1,""satisfactory"":14,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":15,""open_cc"":12,""mort"":0}",0
95416,185.82,D,FL,02-Feb-18,15:36:38.2,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":6,""satisfactory"":12,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":12,""open_cc"":8,""mort"":1}",0
24713,586.54,C,AZ,15-Jan-18,15:04:08.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":3,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":10,""open_cc"":5,""mort"":2}",0
10506,430.43,A,CA,19-Mar-18,15:52:42.6,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":6,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":13,""open_cc"":10,""mort"":1}",0
11264,43.17,B,CO,31-Mar-18,13:12:42.6,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":5,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":8,""open_cc"":6,""mort"":2}",0
19385,114.84,A,AZ,19-Jan-18,15:45:52.8,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":4,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":6,""open_cc"":5,""mort"":0}",0
192044,812.13,C,GA,15-Feb-18,10:46:38.2,"{""current_delinq"":0,""current_installment"":18,""opened_24m"":7,""satisfactory"":27,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":10,""open_cc"":9,""mort"":0}",0
5934,427,B,IN,15-Mar-18,11:32:42.6,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":4,""satisfactory"":3,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":0,""total_cc"":9,""open_cc"":3,""mort"":0}",0
75510,730.51,B,MA,31-Mar-18,14:30:27.5,"{""current_delinq"":0,""current_installment"":7,""opened_24m"":1,""satisfactory"":15,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":6,""total_cc"":15,""open_cc"":8,""mort"":0}",0
30876,354.59,D,KS,04-Feb-18,14:08:01.9,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":2,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":10,""open_cc"":7,""mort"":0}",0
20909,270.65,C,MS,21-Mar-18,14:00:27.5,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":5,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":15,""open_cc"":5,""mort"":5}",0
35077,715.53,D,WY,22-Apr-18,10:16:38.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":3,""satisfactory"":12,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":19,""open_cc"":9,""mort"":2}",0
604,595.41,C,OR,10-Feb-18,14:18:01.9,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":1,""satisfactory"":2,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":10,""open_cc"":2,""mort"":5}",0
1693,192.01,B,TX,02-Apr-18,15:37:22.1,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":1,""satisfactory"":2,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":12,""open_cc"":2,""mort"":3}",0
94517,105.39,A,CA,29-Mar-18,13:03:13.3,"{""current_delinq"":0,""current_installment"":4,""opened_24m"":2,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":0,""total_cc"":9,""open_cc"":1,""mort"":4}",0
41228,389.53,B,CA,11-Mar-18,16:43:08.5,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":19,""satisfactory"":20,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":8,""total_cc"":23,""open_cc"":19,""mort"":0}",0
39503,156.11,C,IL,12-Feb-18,17:44:08.2,"{""current_delinq"":0,""current_installment"":5,""opened_24m"":4,""satisfactory"":12,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":10,""open_cc"":7,""mort"":0}",0
25377,465.57,A,WA,07-Feb-18,17:15:52.8,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":7,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":12,""open_cc"":7,""mort"":3}",0
28766,259.58,D,TN,14-Feb-18,10:57:22.1,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":3,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":9,""open_cc"":7,""mort"":1}",0
18957,162.31,B,CA,05-Mar-18,14:32:42.6,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":3,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":13,""open_cc"":6,""mort"":4}",0
27078,183.1,B,OH,17-Feb-18,11:50:11.2,"{""current_delinq"":0,""current_installment"":8,""opened_24m"":4,""satisfactory"":21,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":17,""open_cc"":13,""mort"":0}",0
103390,375.88,A,NJ,21-Jan-18,15:07:22.1,"{""current_delinq"":0,""current_installment"":6,""opened_24m"":4,""satisfactory"":14,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":11,""open_cc"":8,""mort"":0}",0
30716,283.67,B,CA,01-Mar-18,16:50:11.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":2,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":8,""open_cc"":5,""mort"":1}",0
96519,563.98,C,WI,15-Mar-18,15:37:22.1,"{""current_delinq"":0,""current_installment"":4,""opened_24m"":7,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":12,""open_cc"":4,""mort"":4}",0
36081,335.12,C,FL,29-Jan-18,15:39:43.3,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":3,""satisfactory"":12,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":20,""open_cc"":9,""mort"":0}",0
37310,542.74,D,IN,29-Jan-18,16:07:22.1,"{""current_delinq"":0,""current_installment"":4,""opened_24m"":8,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":7,""open_cc"":6,""mort"":1}",0
92950,368.94,A,GA,13-Mar-18,16:29:43.3,"{""current_delinq"":0,""current_installment"":11,""opened_24m"":1,""satisfactory"":18,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":13,""open_cc"":7,""mort"":0}",0
