total_credit_utilized,installment,grade,state,issue_date,application_time,accounts,vector_feature,non_decimal_feature,sentence_feature,y
20049,496.6,A,NY,04-Feb-18,39:43.3,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":0,""satisfactory"":5,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":5,""open_cc"":4,""mort"":0}","[7.26, 9.34, 6.46, 4.13, 8.85]",0x87,ë¶„ì„ ë³´ê³ ???ì„±??0,
266484,499.06,A,AZ,14-Apr-18,20:27.5,"{""current_delinq"":0,""current_installment"":4,""opened_24m"":5,""satisfactory"":14,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":18,""open_cc"":10,""mort"":0}","[4.37, 5.11, 0.0, 5.06, 0.2]",0b10000110,?•ê¸° ?ê? ?„ë£Œ,0
64572,729.27,A,GA,05-Mar-18,54:08.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":3,""satisfactory"":19,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":8,""total_cc"":27,""open_cc"":16,""mort"":3}","[5.49, 2.68, 6.91, 1.19, 8.24]",0x90,ì´ˆê¸°???‘ì—… ì§„í–‰ ì¤?0,
28879,326.16,C,NY,09-Mar-18,36:38.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":7,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":6,""open_cc"":6,""mort"":0}","[6.31, 6.77, 9.87, 3.66, 3.32]",0x15e,?œìŠ¤???…ë°?´íŠ¸ ?„ìš”,0
9348,182.73,A,OH,14-Apr-18,24:08.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":7,""satisfactory"":15,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":17,""open_cc"":13,""mort"":1}","[4.83, 7.79, 4.84, 4.46, 3.82]",0x15e,ë°°í„°ë¦??”ëŸ‰ ë¶€ì¡?0,
16184,684.24,C,AZ,19-Mar-18,32:42.6,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":6,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":17,""open_cc"":9,""mort"":0}","[9.75, 4.11, 4.43, 8.98, 5.56]",0b111111011,?¤íŠ¸?Œí¬ ?°ê²° ë¶ˆì•ˆ??0,
23517,456.81,A,CA,13-Mar-18,20:27.5,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":3,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":6,""total_cc"":8,""open_cc"":8,""mort"":0}","[2.11, 2.91, 8.07, 1.34, 5.4]",0x141,?¼ì„œ ê°??•ìƒ ë²”ìœ„,0
23428,483.52,B,AZ,19-Jan-18,06:38.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":1,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":13,""open_cc"":8,""mort"":0}","[8.59, 0.04, 6.46, 9.51, 3.58]",0x32e,?œìŠ¤???…ë°?´íŠ¸ ?„ìš”,0
43850,234.55,C,MD,16-Apr-18,44:08.2,"{""current_delinq"":0,""current_installment"":5,""opened_24m"":4,""satisfactory"":15,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":15,""open_cc"":9,""mort"":1}","[1.44, 7.28, 7.51, 3.71, 1.77]",0x2cf,?¤íŠ¸?Œí¬ ?°ê²° ë¶ˆì•ˆ??0,
9684,180.69,A,CA,05-Feb-18,02:42.6,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":3,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":14,""open_cc"":10,""mort"":0}","[1.56, 2.38, 3.32, 5.84, 2.7]",0b1001110000,?¬ìš©??ë¡œê·¸??ê¸°ë¡,0
18087,190.57,D,PA,19-Mar-18,38:01.9,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":4,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":6,""open_cc"":5,""mort"":0}","[0.33, 8.4, 9.77, 9.13, 0.72]",0xeb,?????†ëŠ” ?¤ë¥˜ ë°œìƒ,0
29780,281.3,C,NE,17-Feb-18,21:58.2,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":5,""satisfactory"":12,""120d_past_due"":null,""30d_past_due"":0,""active_debit"":5,""total_cc"":11,""open_cc"":9,""mort"":1}","[6.21, 9.4, 8.26, 9.97, 2.64]",0x377,ëª¨í„° ?¨ë„ ?ìŠ¹ ê²½ê³ ,0
22654,554.96,C,PA,04-Apr-18,40:27.5,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":0,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":14,""open_cc"":6,""mort"":2}","[2.48, 3.99, 5.26, 9.46, 5.52]",0b110101100,?¬ìš©??ë¡œê·¸??ê¸°ë¡,0
13774,150.56,A,CA,27-Feb-18,25:52.8,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":2,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":13,""open_cc"":4,""mort"":3}","[6.75, 2.74, 0.0, 1.01, 8.97]",0x35b,ë°°í„°ë¦??”ëŸ‰ ë¶€ì¡?0,
239349,1252.91,A,NY,01-Feb-18,32:42.6,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":2,""satisfactory"":15,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":7,""total_cc"":16,""open_cc"":12,""mort"":3}","[8.96, 8.63, 6.35, 1.39, 1.59]",0b10010110,?¼ì„œ ê°??•ìƒ ë²”ìœ„,0
122434,563.98,C,CA,14-Feb-18,42:42.6,"{""current_delinq"":0,""current_installment"":4,""opened_24m"":5,""satisfactory"":23,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":11,""total_cc"":22,""open_cc"":18,""mort"":0}","[4.12, 0.81, 6.78, 4.92, 5.65]",0b110011000,ë¶„ì„ ë³´ê³ ???ì„±??0,
23135,238.11,C,OH,04-Apr-18,11:58.2,"{""current_delinq"":0,""current_installment"":4,""opened_24m"":3,""satisfactory"":13,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":7,""total_cc"":9,""open_cc"":9,""mort"":0}","[7.69, 7.83, 0.55, 0.86, 1.68]",0b111100001,?œìŠ¤???…ë°?´íŠ¸ ?„ìš”,0
31660,114.34,D,OR,11-Feb-18,17:22.1,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":6,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":12,""open_cc"":8,""mort"":0}","[2.77, 9.34, 1.12, 7.58, 0.08]",0x2bb,?œìŠ¤???…ë°?´íŠ¸ ?„ìš”,0
31210,587.1,B,GA,23-Mar-18,02:42.6,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":2,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":11,""open_cc"":7,""mort"":2}","[8.79, 8.85, 7.59, 1.73, 7.85]",0b11111001,?¬ìš©??ë¡œê·¸??ê¸°ë¡,0
37184,320.05,B,FL,15-Jan-18,21:58.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":6,""satisfactory"":16,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":21,""open_cc"":13,""mort"":1}","[3.22, 0.26, 8.18, 3.31, 5.59]",0x22d,?œìŠ¤???…ë°?´íŠ¸ ?„ìš”,0
23786,213.18,A,FL,13-Mar-18,54:08.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":10,""satisfactory"":22,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":24,""open_cc"":19,""mort"":3}","[7.71, 8.69, 6.59, 2.57, 0.18]",0x2fc,?¬ìš©??ë¡œê·¸??ê¸°ë¡,0
177340,468.99,A,FL,16-Apr-18,45:52.8,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":5,""satisfactory"":16,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":6,""total_cc"":16,""open_cc"":12,""mort"":2}","[1.51, 1.92, 1.21, 7.09, 3.99]",0b1000011011,?œìŠ¤???…ë°?´íŠ¸ ?„ìš”,0
33573,371.64,D,TX,31-Jan-18,26:38.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":7,""satisfactory"":13,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":24,""open_cc"":12,""mort"":0}","[5.5, 2.33, 9.82, 5.59, 6.8]",0b1101111011,?œìŠ¤???…ë°?´íŠ¸ ?„ìš”,0
26495,71.43,B,CO,01-Feb-18,05:52.8,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":2,""satisfactory"":4,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":6,""open_cc"":3,""mort"":1}","[7.67, 5.17, 3.83, 2.38, 1.37]",0x103,ëª¨í„° ?¨ë„ ?ìŠ¹ ê²½ê³ ,0
47255,1106.07,D,CA,04-Apr-18,21:58.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":8,""satisfactory"":17,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":8,""total_cc"":16,""open_cc"":14,""mort"":0}","[3.69, 0.04, 0.18, 5.22, 3.17]",0b1011100010,?¼ì„œ ê°??•ìƒ ë²”ìœ„,0
25199,1191.84,A,TX,04-Feb-18,22:42.6,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":13,""satisfactory"":13,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":11,""open_cc"":10,""mort"":1}","[2.01, 1.0, 7.37, 2.1, 0.43]",0b110010110,?¤íŠ¸?Œí¬ ?°ê²° ë¶ˆì•ˆ??0,
11577,1328.2,B,AL,06-Apr-18,24:08.2,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":6,""satisfactory"":19,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":6,""total_cc"":24,""open_cc"":19,""mort"":0}","[7.9, 9.22, 6.2, 1.58, 4.38]",0x4f,?°ì´??ì²˜ë¦¬ ?±ê³µ,0
52121,922.05,C,MI,20-Apr-18,05:52.8,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":12,""satisfactory"":17,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":43,""open_cc"":15,""mort"":0}","[3.15, 2.58, 1.48, 0.69, 4.52]",0b100110101,ë¶„ì„ ë³´ê³ ???ì„±??0,
34397,478.25,D,CA,17-Mar-18,33:13.3,"{""current_delinq"":0,""current_installment"":4,""opened_24m"":1,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":5,""open_cc"":4,""mort"":0}","[1.89, 0.31, 0.06, 5.21, 2.39]",0b1100101000,?¼ì„œ ê°??•ìƒ ë²”ìœ„,0
27561,224.01,B,CA,05-Mar-18,26:38.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":3,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":7,""open_cc"":5,""mort"":3}","[4.99, 6.77, 0.72, 9.22, 5.71]",0x2b4,ë¶„ì„ ë³´ê³ ???ì„±??0,
76915,399.34,A,HI,23-Jan-18,00:27.5,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":3,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":8,""open_cc"":6,""mort"":5}","[5.06, 2.9, 2.75, 3.39, 0.2]",0x180,?????†ëŠ” ?¤ë¥˜ ë°œìƒ,0
200445,699.77,C,NY,13-Mar-18,57:22.1,"{""current_delinq"":0,""current_installment"":5,""opened_24m"":5,""satisfactory"":13,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":13,""open_cc"":6,""mort"":2}","[3.21, 3.85, 5.83, 0.71, 5.15]",0x382,?•ê¸° ?ê? ?„ë£Œ,0
28388,837.79,C,NY,15-Mar-18,49:43.3,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":3,""satisfactory"":10,""120d_past_due"":null,""30d_past_due"":0,""active_debit"":1,""total_cc"":16,""open_cc"":6,""mort"":2}","[8.1, 0.67, 0.14, 1.88, 1.88]",0b11110100,ë°°í„°ë¦??”ëŸ‰ ë¶€ì¡?0,
4466,1054.02,A,NC,11-Feb-18,27:22.1,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":0,""satisfactory"":2,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":8,""open_cc"":2,""mort"":0}","[0.36, 0.06, 4.71, 0.23, 5.11]",0xc4,ë¶„ì„ ë³´ê³ ???ì„±??0,
13498,161.15,B,FL,11-Mar-18,22:42.6,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":5,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":6,""open_cc"":6,""mort"":0}","[3.38, 7.06, 2.93, 6.55, 8.66]",0b111011100,?œìŠ¤???…ë°?´íŠ¸ ?„ìš”,0
36858,91.37,A,CA,09-Feb-18,46:38.2,"{""current_delinq"":0,""current_installment"":6,""opened_24m"":5,""satisfactory"":14,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":12,""open_cc"":8,""mort"":0}","[0.77, 6.78, 8.25, 0.49, 1.19]",0b11111,?¼ì„œ ê°??•ìƒ ë²”ìœ„,0
15595,529.88,D,PA,27-Feb-18,12:42.6,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":7,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":22,""open_cc"":10,""mort"":0}","[4.83, 0.19, 6.11, 5.86, 4.48]",0x119,?°ì´??ì²˜ë¦¬ ?±ê³µ,0
75734,1136.11,B,IL,18-Apr-18,03:13.3,"{""current_delinq"":0,""current_installment"":4,""opened_24m"":3,""satisfactory"":13,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":18,""open_cc"":9,""mort"":0}","[8.91, 6.88, 4.52, 6.77, 6.42]",0b101100110,ë°°í„°ë¦??”ëŸ‰ ë¶€ì¡?0,
34602,1065.88,A,NJ,15-Mar-18,31:58.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":3,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":15,""open_cc"":5,""mort"":0}","[3.59, 8.85, 8.59, 1.37, 3.61]",0x98,ë¶„ì„ ë³´ê³ ???ì„±??0,
105910,132.84,B,NE,06-Feb-18,50:11.2,"{""current_delinq"":0,""current_installment"":4,""opened_24m"":8,""satisfactory"":19,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":10,""total_cc"":21,""open_cc"":14,""mort"":3}","[8.62, 5.5, 8.65, 2.06, 5.4]",0x386,?????†ëŠ” ?¤ë¥˜ ë°œìƒ,0
57993,375.82,A,MI,29-Mar-18,03:13.3,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":3,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":10,""open_cc"":6,""mort"":1}","[0.57, 4.01, 8.98, 9.48, 5.62]",0b100110100,?????†ëŠ” ?¤ë¥˜ ë°œìƒ,0
81494,392.36,B,TX,07-Mar-18,56:38.2,"{""current_delinq"":0,""current_installment"":11,""opened_24m"":9,""satisfactory"":17,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":17,""open_cc"":5,""mort"":3}","[4.75, 2.65, 3.43, 9.61, 5.22]",0x25e,?¬ìš©??ë¡œê·¸??ê¸°ë¡,0
51177,357.25,C,GA,16-Feb-18,07:22.1,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":5,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":6,""open_cc"":6,""mort"":0}","[8.74, 7.33, 5.38, 3.55, 3.12]",0b100111100,?°ì´??ì²˜ë¦¬ ?±ê³µ,0
51576,324.65,B,FL,06-Feb-18,16:38.2,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":2,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":6,""open_cc"":5,""mort"":0}","[7.95, 3.18, 2.47, 4.61, 6.23]",0b1000010,ì´ˆê¸°???‘ì—… ì§„í–‰ ì¤?0,
39721,751.75,A,MI,17-Mar-18,33:13.3,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":10,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":7,""total_cc"":16,""open_cc"":10,""mort"":0}","[5.86, 0.68, 9.59, 2.55, 2.37]",0b101001010,?????†ëŠ” ?¤ë¥˜ ë°œìƒ,0
11645,649.21,B,CT,17-Mar-18,51:58.2,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":3,""satisfactory"":4,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":4,""open_cc"":4,""mort"":0}","[4.95, 1.19, 8.93, 7.14, 7.25]",0b1001110110,ëª¨í„° ?¨ë„ ?ìŠ¹ ê²½ê³ ,0
8411,96.71,B,PA,31-Mar-18,48:01.9,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":4,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":6,""open_cc"":6,""mort"":0}","[5.95, 1.1, 6.84, 8.15, 8.19]",0x111,?¬ìš©??ë¡œê·¸??ê¸°ë¡,0
135909,483.52,B,MO,31-Jan-18,48:01.9,"{""current_delinq"":0,""current_installment"":4,""opened_24m"":4,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":8,""open_cc"":6,""mort"":1}","[5.04, 5.84, 2.01, 7.85, 5.02]",0b1110010111,?????†ëŠ” ?¤ë¥˜ ë°œìƒ,0
25625,310.38,A,NJ,01-Feb-18,26:38.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":1,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":9,""open_cc"":8,""mort"":0}","[6.91, 7.68, 1.7, 3.22, 6.13]",0x17b,ë¶„ì„ ë³´ê³ ???ì„±??0,
34717,79.61,D,TX,02-Feb-18,01:58.2,"{""current_delinq"":0,""current_installment"":4,""opened_24m"":3,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":0,""total_cc"":11,""open_cc"":3,""mort"":0}","[1.42, 0.56, 2.07, 7.68, 6.31]",0b10110010,?????†ëŠ” ?¤ë¥˜ ë°œìƒ,0
24883,548.25,A,PA,10-Feb-18,50:11.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":3,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":10,""open_cc"":7,""mort"":0}","[6.47, 1.56, 1.94, 9.12, 5.48]",0b100000110,?œìŠ¤???…ë°?´íŠ¸ ?„ìš”,0
48159,761.35,A,WI,27-Mar-18,10:27.5,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":0,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":13,""open_cc"":5,""mort"":5}","[0.89, 1.38, 8.81, 0.01, 4.82]",0x120,?¼ì„œ ê°??•ìƒ ë²”ìœ„,0
32863,922.35,A,NJ,19-Mar-18,13:21.5,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":2,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":9,""open_cc"":4,""mort"":7}","[8.05, 6.31, 9.62, 0.19, 0.96]",0x147,?¼ì„œ ê°??•ìƒ ë²”ìœ„,0
15145,386.76,B,KS,09-Feb-18,16:38.2,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":1,""satisfactory"":5,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":6,""open_cc"":4,""mort"":1}","[7.77, 6.78, 1.38, 0.66, 8.04]",0b1111001000,ëª¨í„° ?¨ë„ ?ìŠ¹ ê²½ê³ ,0
20480,171.09,C,TN,01-Jan-18,39:43.3,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":3,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":15,""open_cc"":8,""mort"":1}","[0.87, 8.6, 2.29, 1.95, 5.07]",0b1011110001,ì´ˆê¸°???‘ì—… ì§„í–‰ ì¤?0,
11648,77.92,B,TX,16-Feb-18,33:13.3,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":10,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":9,""open_cc"":8,""mort"":0}","[4.97, 7.39, 6.75, 4.17, 0.88]",0x333,?????†ëŠ” ?¤ë¥˜ ë°œìƒ,0
61633,289.47,D,VA,17-Jan-18,16:38.2,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":2,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":8,""open_cc"":7,""mort"":2}","[5.21, 6.34, 0.78, 9.01, 4.24]",0x18,?•ê¸° ?ê? ?„ë£Œ,0
81210,386.31,E,CT,27-Feb-18,54:08.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":4,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":6,""open_cc"":5,""mort"":1}","[7.12, 9.27, 2.34, 9.67, 2.92]",0x155,ë°°í„°ë¦??”ëŸ‰ ë¶€ì¡?1,
1773,104.07,C,OH,22-Feb-18,12:42.6,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":3,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":9,""open_cc"":7,""mort"":0}","[4.33, 4.1, 6.56, 2.3, 7.47]",0b1101101,ë¶„ì„ ë³´ê³ ???ì„±??0,
100347,952.65,C,GA,12-Feb-18,13:21.5,"{""current_delinq"":0,""current_installment"":5,""opened_24m"":7,""satisfactory"":15,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":19,""open_cc"":9,""mort"":4}","[6.95, 2.4, 7.92, 7.85, 6.32]",0b1010000111,ì´ˆê¸°???‘ì—… ì§„í–‰ ì¤?0,
54356,261.57,B,PA,08-Feb-18,55:47.4,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":7,""satisfactory"":19,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":21,""open_cc"":17,""mort"":0}","[6.66, 1.0, 9.51, 1.42, 8.89]",0x32f,ì´ˆê¸°???‘ì—… ì§„í–‰ ì¤?0,
108121,1096.29,A,GA,20-Feb-18,09:23.4,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":5,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":12,""open_cc"":8,""mort"":2}","[2.74, 5.38, 6.02, 2.08, 3.31]",0x29,?œìŠ¤???…ë°?´íŠ¸ ?„ìš”,0
33223,1096.13,A,CA,11-Mar-18,09:23.4,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":2,""satisfactory"":13,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":14,""open_cc"":12,""mort"":0}","[2.79, 1.69, 1.22, 8.13, 7.3]",0b1000100111,?¤íŠ¸?Œí¬ ?°ê²° ë¶ˆì•ˆ??0,
73262,281.91,A,SC,07-Feb-18,46:38.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":5,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":11,""open_cc"":3,""mort"":6}","[4.61, 6.35, 1.62, 3.37, 1.58]",0x266,ë°°í„°ë¦??”ëŸ‰ ë¶€ì¡?0,
63236,662.53,A,FL,07-Jan-18,24:08.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":10,""satisfactory"":13,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":18,""open_cc"":11,""mort"":0}","[6.75, 9.11, 5.01, 1.45, 8.0]",0b101111001,ë¶„ì„ ë³´ê³ ???ì„±??0,
78496,606.06,C,TX,17-Feb-18,39:43.3,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":1,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":5,""open_cc"":3,""mort"":4}","[4.64, 5.74, 7.91, 6.49, 7.93]",0x2dc,?????†ëŠ” ?¤ë¥˜ ë°œìƒ,0
95551,125.3,A,ND,03-Feb-18,01:58.2,"{""current_delinq"":0,""current_installment"":6,""opened_24m"":6,""satisfactory"":15,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":19,""open_cc"":8,""mort"":5}","[8.6, 5.32, 6.33, 8.5, 7.13]",0x18b,?œìŠ¤???…ë°?´íŠ¸ ?„ìš”,0
93168,38.12,D,NH,11-Mar-18,29:43.3,"{""current_delinq"":0,""current_installment"":8,""opened_24m"":3,""satisfactory"":13,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":6,""open_cc"":5,""mort"":0}","[8.26, 3.67, 8.59, 4.76, 8.92]",0x217,ë°°í„°ë¦??”ëŸ‰ ë¶€ì¡?0,
41134,576.41,C,TX,31-Jan-18,45:52.8,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":4,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":11,""open_cc"":6,""mort"":4}","[3.5, 2.24, 4.93, 4.37, 4.88]",0x26,?œìŠ¤???…ë°?´íŠ¸ ?„ìš”,0
80911,424.16,B,CA,25-Mar-18,17:22.1,"{""current_delinq"":0,""current_installment"":4,""opened_24m"":6,""satisfactory"":5,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":0,""total_cc"":23,""open_cc"":1,""mort"":0}","[4.53, 8.22, 8.41, 6.83, 4.56]",0xe3,ë°°í„°ë¦??”ëŸ‰ ë¶€ì¡?0,
88797,358.95,D,KY,05-Mar-18,06:38.2,"{""current_delinq"":0,""current_installment"":10,""opened_24m"":13,""satisfactory"":36,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":6,""total_cc"":32,""open_cc"":26,""mort"":0}","[9.75, 5.85, 2.63, 3.28, 1.44]",0b1010010100,?•ê¸° ?ê? ?„ë£Œ,0
64911,927.29,D,OH,15-Feb-18,40:27.5,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":4,""satisfactory"":17,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":31,""open_cc"":15,""mort"":2}","[6.65, 4.86, 4.44, 7.34, 6.83]",0xdc,ë¶„ì„ ë³´ê³ ???ì„±??0,
30103,301.15,A,PA,12-Feb-18,28:01.9,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":2,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":9,""open_cc"":8,""mort"":0}","[3.06, 0.34, 6.37, 5.3, 0.24]",0b100010110,?????†ëŠ” ?¤ë¥˜ ë°œìƒ,0
10214,169.9,C,CT,13-Feb-18,34:08.2,"{""current_delinq"":0,""current_installment"":4,""opened_24m"":3,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":0,""total_cc"":5,""open_cc"":4,""mort"":0}","[6.6, 2.41, 2.63, 7.52, 8.15]",0x193,ëª¨í„° ?¨ë„ ?ìŠ¹ ê²½ê³ ,0
